year,month,rainfall_mm,temp_mean_C,temp_max_C,temp_min_C,humidity_pct,pressure_kPa,wind_speed_ms,month_name,date
2007,1,10.120000000000001,26.613225806451613,33.95129032258065,20.646774193548385,59.251290322580644,99.95935483870969,0.9780645161290322,January,2007-01-01
2007,2,34.97,28.056428571428572,33.348214285714285,24.00857142857143,73.24607142857143,99.85035714285713,1.2292857142857143,February,2007-02-01
2007,3,87.87,27.950645161290325,32.88161290322581,24.298387096774192,76.46903225806452,99.76032258064517,1.19,March,2007-03-01
2007,4,193.46,26.310333333333336,29.683666666666667,23.843666666666664,88.76433333333333,99.82633333333334,1.103,April,2007-04-01
2007,5,167.21,26.011612903225807,29.260967741935485,23.566451612903226,89.79709677419355,99.92645161290322,0.95,May,2007-05-01
2007,6,222.33,24.759,28.096,22.31566666666667,90.93,100.11566666666666,1.2713333333333334,June,2007-06-01
2007,7,159.85999999999999,24.20258064516129,27.953225806451613,21.46677419354839,89.1716129032258,100.16064516129032,1.4116129032258065,July,2007-07-01
2007,8,96.49,24.03258064516129,27.978064516129034,21.12322580645161,88.75451612903225,100.08806451612904,1.3970967741935485,August,2007-08-01
2007,9,194.72,24.770666666666667,28.404333333333334,22.072333333333333,89.65766666666667,100.091,1.0956666666666666,September,2007-09-01
2007,10,122.61,24.90967741935484,28.348709677419357,22.308387096774194,89.53225806451613,99.98612903225806,0.9035483870967742,October,2007-10-01
2007,11,66.88,25.71833333333333,29.663333333333334,22.566,86.392,99.861,0.893,November,2007-11-01
2007,12,30.06,26.627741935483872,31.58225806451613,22.809677419354838,77.52612903225807,99.86,0.7793548387096775,December,2007-12-01
2008,1,69.45,25.966451612903228,33.29451612903226,20.07774193548387,59.93354838709678,99.84774193548388,1.0535483870967741,January,2008-01-01
2008,2,10.040000000000001,28.108620689655172,33.965172413793105,23.69344827586207,70.3803448275862,99.84793103448277,0.9062068965517242,February,2008-02-01
2008,3,109.97,27.13516129032258,31.84,23.614838709677418,79.69322580645161,99.73903225806451,1.1212903225806452,March,2008-03-01
2008,4,91.82,27.105,31.628,23.723333333333336,79.57566666666666,99.712,1.0826666666666667,April,2008-04-01
2008,5,163.2,25.978387096774195,29.539032258064516,23.227096774193548,87.17032258064516,99.89354838709677,1.0248387096774194,May,2008-05-01
2008,6,220.69,25.03033333333333,28.356333333333335,22.555,90.325,100.051,1.1233333333333335,June,2008-06-01
2008,7,104.53,24.459032258064518,28.313548387096777,21.656451612903226,88.41032258064516,100.15870967741935,1.2996774193548386,July,2008-07-01
2008,8,105.42,24.45935483870968,28.746129032258064,21.258387096774193,86.27774193548387,100.03064516129032,1.3451612903225807,August,2008-08-01
2008,9,143.39,25.24866666666667,29.40533333333333,22.185333333333332,86.06533333333333,100.048,1.108,September,2008-09-01
2008,10,122.36,25.62451612903226,29.603548387096776,22.56032258064516,86.49354838709678,99.99096774193548,0.8880645161290323,October,2008-10-01
